# Emoji 17.0 单码位纯净版（机器可读）
# 生成日期: 2026-02-13
# 说明: 仅包含单码位Emoji，已过滤所有多码位序列
# 字段: 字符\t码位\t状态\t版本\t名称
# 单码位定义: 码位字段不含空格
👍	1F44D	fully-qualified	E0.6	thumbs up
👎	1F44E	fully-qualified	E0.6	thumbs down
✊	270A	fully-qualified	E0.6	raised fist
👊	1F44A	fully-qualified	E0.6	oncoming fist
🤛	1F91B	fully-qualified	E3.0	left-facing fist
🤜	1F91C	fully-qualified	E3.0	right-facing fist
👏	1F44F	fully-qualified	E0.6	clapping hands
🙌	1F64C	fully-qualified	E0.6	raising hands
🫶	1FAF6	fully-qualified	E14.0	heart hands
👐	1F450	fully-qualified	E0.6	open hands
🤲	1F932	fully-qualified	E5.0	palms up together
🤝	1F91D	fully-qualified	E3.0	handshake
🙏	1F64F	fully-qualified	E0.6	folded hands
✍	270D	unqualified	E0.7	writing hand
💅	1F485	fully-qualified	E0.6	nail polish
🤳	1F933	fully-qualified	E3.0	selfie
💪	1F4AA	fully-qualified	E0.6	flexed biceps
🦾	1F9BE	fully-qualified	E12.0	mechanical arm
🦿	1F9BF	fully-qualified	E12.0	mechanical leg
🦵	1F9B5	fully-qualified	E11.0	leg
🦶	1F9B6	fully-qualified	E11.0	foot
👂	1F442	fully-qualified	E0.6	ear
🦻	1F9BB	fully-qualified	E12.0	ear with hearing aid
👃	1F443	fully-qualified	E0.6	nose
🧠	1F9E0	fully-qualified	E5.0	brain
🫀	1FAC0	fully-qualified	E13.0	anatomical heart
🫁	1FAC1	fully-qualified	E13.0	lungs
🦷	1F9B7	fully-qualified	E11.0	tooth
🦴	1F9B4	fully-qualified	E11.0	bone
👀	1F440	fully-qualified	E0.6	eyes
👁	1F441	unqualified	E0.7	eye
👅	1F445	fully-qualified	E0.6	tongue
👄	1F444	fully-qualified	E0.6	mouth
🫦	1FAE6	fully-qualified	E14.0	biting lip
👶	1F476	fully-qualified	E0.6	baby
🧒	1F9D2	fully-qualified	E5.0	child
👦	1F466	fully-qualified	E0.6	boy
👧	1F467	fully-qualified	E0.6	girl
🧑	1F9D1	fully-qualified	E5.0	person
👱	1F471	fully-qualified	E0.6	person: blond hair
👨	1F468	fully-qualified	E0.6	man
🧔	1F9D4	fully-qualified	E5.0	person: beard
👩	1F469	fully-qualified	E0.6	woman
🧓	1F9D3	fully-qualified	E5.0	older person
👴	1F474	fully-qualified	E0.6	old man
👵	1F475	fully-qualified	E0.6	old woman
🙍	1F64D	fully-qualified	E0.6	person frowning
🙎	1F64E	fully-qualified	E0.6	person pouting
🙅	1F645	fully-qualified	E0.6	person gesturing NO
🙆	1F646	fully-qualified	E0.6	person gesturing OK
💁	1F481	fully-qualified	E0.6	person tipping hand
🙋	1F64B	fully-qualified	E0.6	person raising hand
🧏	1F9CF	fully-qualified	E12.0	deaf person
🙇	1F647	fully-qualified	E0.6	person bowing
🤦	1F926	fully-qualified	E3.0	person facepalming
🤷	1F937	fully-qualified	E3.0	person shrugging
👮	1F46E	fully-qualified	E0.6	police officer
🕵	1F575	unqualified	E0.7	detective
💂	1F482	fully-qualified	E0.6	guard
🥷	1F977	fully-qualified	E13.0	ninja
👷	1F477	fully-qualified	E0.6	construction worker
🫅	1FAC5	fully-qualified	E14.0	person with crown
🤴	1F934	fully-qualified	E3.0	prince
👸	1F478	fully-qualified	E0.6	princess
👳	1F473	fully-qualified	E0.6	person wearing turban
👲	1F472	fully-qualified	E0.6	person with skullcap
🧕	1F9D5	fully-qualified	E5.0	woman with headscarf
🤵	1F935	fully-qualified	E3.0	person in tuxedo
👰	1F470	fully-qualified	E0.6	person with veil
🤰	1F930	fully-qualified	E3.0	pregnant woman
🫃	1FAC3	fully-qualified	E14.0	pregnant man
🫄	1FAC4	fully-qualified	E14.0	pregnant person
🤱	1F931	fully-qualified	E5.0	breast-feeding
👼	1F47C	fully-qualified	E0.6	baby angel
🎅	1F385	fully-qualified	E0.6	Santa Claus
🤶	1F936	fully-qualified	E3.0	Mrs. Claus
🦸	1F9B8	fully-qualified	E11.0	superhero
🦹	1F9B9	fully-qualified	E11.0	supervillain
🧙	1F9D9	fully-qualified	E5.0	mage
🧚	1F9DA	fully-qualified	E5.0	fairy
🧛	1F9DB	fully-qualified	E5.0	vampire
🧜	1F9DC	fully-qualified	E5.0	merperson
🧝	1F9DD	fully-qualified	E5.0	elf
🧞	1F9DE	fully-qualified	E5.0	genie
🧟	1F9DF	fully-qualified	E5.0	zombie
🧌	1F9CC	fully-qualified	E14.0	troll
🫈	1FAC8	fully-qualified	E17.0	hairy creature
💆	1F486	fully-qualified	E0.6	person getting massage
💇	1F487	fully-qualified	E0.6	person getting haircut
🚶	1F6B6	fully-qualified	E0.6	person walking
🧍	1F9CD	fully-qualified	E12.0	person standing
🧎	1F9CE	fully-qualified	E12.0	person kneeling
🏃	1F3C3	fully-qualified	E0.6	person running
💃	1F483	fully-qualified	E0.6	woman dancing
🕺	1F57A	fully-qualified	E3.0	man dancing
🕴	1F574	unqualified	E0.7	person in suit levitating
👯	1F46F	fully-qualified	E0.6	people with bunny ears
🧖	1F9D6	fully-qualified	E5.0	person in steamy room
🧗	1F9D7	fully-qualified	E5.0	person climbing
🤺	1F93A	fully-qualified	E3.0	person fencing
🏇	1F3C7	fully-qualified	E1.0	horse racing
⛷	26F7	unqualified	E0.7	skier
🏂	1F3C2	fully-qualified	E0.6	snowboarder
🏌	1F3CC	unqualified	E0.7	person golfing
🏄	1F3C4	fully-qualified	E0.6	person surfing
🚣	1F6A3	fully-qualified	E1.0	person rowing boat
🏊	1F3CA	fully-qualified	E0.6	person swimming
⛹	26F9	unqualified	E0.7	person bouncing ball
🏋	1F3CB	unqualified	E0.7	person lifting weights
🚴	1F6B4	fully-qualified	E1.0	person biking
🚵	1F6B5	fully-qualified	E1.0	person mountain biking
🤸	1F938	fully-qualified	E3.0	person cartwheeling
🤼	1F93C	fully-qualified	E3.0	people wrestling
🤽	1F93D	fully-qualified	E3.0	person playing water polo
🤾	1F93E	fully-qualified	E3.0	person playing handball
🤹	1F939	fully-qualified	E3.0	person juggling
🧘	1F9D8	fully-qualified	E5.0	person in lotus position
🛀	1F6C0	fully-qualified	E0.6	person taking bath
🛌	1F6CC	fully-qualified	E1.0	person in bed
👭	1F46D	fully-qualified	E1.0	women holding hands
👫	1F46B	fully-qualified	E0.6	woman and man holding hands
👬	1F46C	fully-qualified	E1.0	men holding hands
💏	1F48F	fully-qualified	E0.6	kiss
💑	1F491	fully-qualified	E0.6	couple with heart
🗣	1F5E3	unqualified	E0.7	speaking head
👤	1F464	fully-qualified	E0.6	bust in silhouette
👥	1F465	fully-qualified	E1.0	busts in silhouette
🫂	1FAC2	fully-qualified	E13.0	people hugging
👪	1F46A	fully-qualified	E0.6	family
👣	1F463	fully-qualified	E0.6	footprints
🫆	1FAC6	fully-qualified	E16.0	fingerprint
🏻	1F3FB	component	E1.0	light skin tone
🏼	1F3FC	component	E1.0	medium-light skin tone
🏽	1F3FD	component	E1.0	medium skin tone
🏾	1F3FE	component	E1.0	medium-dark skin tone
🏿	1F3FF	component	E1.0	dark skin tone
🦰	1F9B0	component	E11.0	red hair
🦱	1F9B1	component	E11.0	curly hair
🦳	1F9B3	component	E11.0	white hair
🦲	1F9B2	component	E11.0	bald
🐵	1F435	fully-qualified	E0.6	monkey face
🐒	1F412	fully-qualified	E0.6	monkey
